,PI,H-Index
772,John Monahan,99
773,Andrew Davis,104
774,Sara Constantino,34
775,Brian Nelson,39
776,W. Russell Neuman,39
777,Paige Amormino,5
778,Sharon Wood,17
779,Lera Boroditsky,49
780,Brian Zikmund-Fisher,65
781,Jennifer Hamilton,19
782,Patrick Gurian,31
783,Marco Janssen,81
784,Dorothy Reed,21
785,Jonathon Schuldt,37
786,Daniel Cavagnaro,19
787,Jiawei Fu,4
788,David Just,53
789,James Farmer,25
790,Bertram Gawronski,83
791,John O'Doherty,100
792,Marisa Manheim,3
793,Ali Abbas,52
794,John Anderson,155
795,MONIQUE TURNER,18
796,Robert Winkler,73
797,Ryan Oprea,23
798,Lisa McKenzie,19
799,Jennifer Crocker,90
800,Nicholas Garber,39
801,James Smith,226
802,John Payne,75
803,Samir Huseynov,6
804,Thomas Birkland,34
805,Briony Swire-Thompson,22
806,Detlof von Winterfeldt,53
807,Trudy Ann Cameron,40
808,Steven Neuberg,65
809,Sanya Carley,41
810,William Rohe,120
811,Jerome Busemeyer,73
812,Richard Martell,67
813,Katherine Dixon-Gordon,40
814,Charles Hermann,32
815,Jason Reifler,44
816,Jacob Stanley,41
817,Tanya Hayes,18
818,Kent Portney,32
819,John Hershey,58
820,Robert White,66
821,Snehasis Mukhopadhyay,27
822,Timothy Stearns,68
823,Jamie Kruse,29
824,Teddy Seidenfeld,34
825,Chen Liang,40
826,Gregory McRae,46
827,Nagpurnanand Prabhala,23
828,Christof Koch,174
829,Michael Simeone,23
830,Robert Feinberg,121
831,Neil Doherty,40
832,Lauren Guggenheim,8
833,Karen Kainer,31
834,Winston Sieck,21
835,Bin Gu,40
836,Jonathan Salerno,47
837,Robert Richardson,33
838,Natacha Thomas,8
839,Debra Javeline,16
840,John Pratt,22
841,Kariyushi Rao,1
842,Regina Joseph,17
843,Gary Bolton,37
844,Yi-Chang Chiu,36
845,Ragan Petrie,24
846,Mirit Friedman,2
847,Marcella Boynton,27
848,Daniel Pilgreen,1
849,Kenneth Hammond,63
850,Ariane Peralta,19
851,Ulf Bockenholt,48
852,Ronald Pyke,7
853,Stephen Ross,76
854,Kenneth Reckhow,52
855,Robert O'Connor,33
856,Cassandra Troy,3
857,James Russell,107
858,Jennifer Marlon,56
859,Alexander Moore,22
860,W. Douglass Shaw,39
861,Vijay Gurbaxani,33
862,Peer Fiss,30
863,Peter McGee,16
864,Richard Bord,89
865,Sanders Korenman,40
866,Gilbert Metcalf,52
867,Judea Pearl,123
868,Shu-Fang Shih,18
869,Roger Schroeder,90
870,Regina Smyth,18
871,Katherine McComas,44
872,Ronald Harstad,25
873,Fabrizio Lillo,55
874,Anthony Rock,10
875,Rebecca Niemiec,19
876,Laurence Weiss,113
877,Ricardo Daziano,30
878,Thomas Coyle,33
879,Yacov Haimes,67
880,William Holmes,32
881,Krishna Dasaratha,9
882,Allecia Reid,21
883,Robert McMaster,104
884,Jose Pardo,66
885,YAW Nyarko,3
886,Anthony Evans,171
887,Thomas Dietz,99
888,Yili Hong,34
889,Randolph Nesse,91
890,Katie Bernhard,40
891,Shinobu Kitayama,95
892,Alexandra Mislin,14
893,Catherine Sanders,24
894,Mark Kamlet,28
895,Maria Rios,42
896,Amnon Rapoport,72
897,Cynthia Beath,39
898,Tashi Gurung,3
899,Barry Johnson,82
900,James Robison-Cox,20
901,Alok Gupta,63
902,Richard Wiener,56
903,John Kagel,73
904,David Levine,66
905,Massimo Piattelli-Palmarini,35
906,Arnold Vedlitz,47
907,Andrew Foster,48
908,kimber mckay,5
909,Terrance Odean,30
910,Tricia Wachtendorf,33
911,Yuxian Cui,5
912,Donald MacGregor,35
913,Rebecca Morss,40
914,Hal Arkes,55
915,Bradley Adame,17
916,David Landy,22
917,Christina Palmer,20
918,David Andersen,75
919,Maria-Florina Balcan,54
920,Yiwei Xu,6
921,Bei Xiao,16
922,Holly Michael,27
923,Vojislav Maksimovic,57
924,Donald Nelson,32
925,Lace Padilla,23
926,William Leach,19
927,Ann Fisher,68
928,Peter Golubtsov,7
929,Walter Peacock,43
930,Leidy Klotz,29
931,Craig Fox,57
932,Robert Townsend,62
933,Leeat Yariv,36
934,Linda Argote,58
935,John Hamman,8
936,Penny Visser,33
937,Ronald Fisher,118
938,Steven Schapiro,113
939,Stephen Broomell,21
940,John Ledyard,47
941,Cristina Bicchieri,56
942,Leonard Shabman,31
943,Steven Ruggles,61
944,Garrick Louis,14
945,Robert Clemen,71
946,S. David Wu,36
947,Kenneth Oye,29
948,John Graham,71
949,George Huber,104
950,Tamar Krishnamurti,23
951,Jeremy Ginges,36
952,Jay Patel,150
953,Henry Willis,25
954,David Cooper,135
955,Brian Wansink,100
956,Michael Kraft,33
957,Seymour Lipset,95
958,Dietram Scheufele,89
959,Jennifer Fraterrigo,25
960,Anne Case,63
961,Timothy McDaniels,31
962,Phillip Ackerman,20
963,Jeff Dozier,69
964,Matthew Hitt,13
965,Kuhika Gupta,16
966,Anna Tompsett,6
967,Kirstin Dow,40
968,Thomas Kull,24
969,Craig Trumbo,29
970,Sara Lowes,12
971,Nathan Kettle,14
972,Aaron Fobian,0
973,James Flynn,42
974,Lee Ross,72
975,Hongtao Yi,30
976,Joel Watson,65
977,Anthony Leiserowitz,94
978,Paul Slovic,171
979,Daniel Friedman,62
980,Hendrik Wolff,30
981,Ajay Vinze,24
982,Michael Nelson,102
983,LD Mattson,2
984,John Norton,55
985,Xavier Basurto,50
986,Kimberly Wade-Benzoni,31
987,Mirta Galesic,51
988,Chuqiao Yang,8
989,Max Henrion,42
990,Alisius Leong,8
991,Joachim Krueger,60
992,Thomas Redick,39
993,James Andreoni,61
994,Jianchao Zhu,2
995,Lucie Laurian,20
996,Jesse Bliss,5
997,Seth Tuler,28
998,Richard Bishop,45
999,Lawrence Ausubel,42
1000,Timothy Hackenberg,31
1001,Douglas Kenrick,86
1002,Stephen Hilgartner,31
1003,A. Adele Diederich,39
1004,Cary Bloyd,14
1005,Douglas Medin,101
1006,Geoffroy de Clippel,21
1007,Run Yu,44
1008,Sandra Schneider,25
1009,Joseph Koonce,25
1010,Barbara Kahn,60
1011,Thomas Heberlein,61
1012,Brian Nagle,7
1013,John Jonides,116
1014,Ulrich Mayr,75
1015,Scott Page,45
1016,Louis Putterman,2
1017,Miguel Villas-Boas,35
1018,Joseph Henrich,102
1019,Julie Demuth,30
1020,Steven Penrod,70
1021,Supreet Kaur,11
1022,John Van Reenen,101
1023,Gerard Toal,58
1024,Kevin Smith,97
1025,Emily Huff,15
1026,Janet Dukerich,28
